company_name,website_url,company_description
Evotec,http://www.evotec.com/,"Evotec is a biotechnology company that is committed to advancing drug discovery and development. Through flexible business models, we collaborate with pharmaceutical companies, biotechs, foundations, and government agencies on a substantial scale. We believe that by working together, we can make a difference in the lives of patients.  Our Pipeline Co-Creation model represents our adaptable, multi-modality, fully integrated end-to-end approach to drive collaborations and services across all phases of drug discovery and development – from discovery of novel targets to achieving Proof of Concept in the clinic and into commercial manufacturing.  We aspire to contribute data-driven disease understanding and early disease relevance in humans to bring the probability of success up. We select the right modality, which is then propelled forward on our platforms by our passionate people striving for the fastest and most effective ways towards patient impact. This is enabled by convergence of human ingenuity with data and AI.  We also offer specific solutions, products, and CRO/CDMO-like services, always in support of the Biopharma R&D innovator. Our more than 4,000 scientists work closely with numerous partners concurrently, delivering fully integrated research and development portfolios or individual projects with the highest quality standards and efficiency, coupled with great science, passion, engagement, and communication."
Pony Medicine,http://www.ponymed.com/english,"Pony Biomedical Technology (Shanghai) Co., Ltd (hereinafter referred to as Pony Medicine) now has two major business base in both Beijing and Shanghai equipped with over 40000 ㎡ laboratory. We are a comprehensive technical service platform integrating drug design, drug synthesis, synthesis process development, drug activity screening, preparation research, pharmacodynamic evaluation, pharmacokinetic evaluation, toxicological evaluation and new drug registration. And we’ve been qualified with CMA, CNAS, GMP and GLP, as well as widely recognized by national drug ministries and commissions at home and overseas. Nowadays, the core R&D personnel of the laboratory are all overseas doctors with many years’ research and development experience in large international pharmaceutical enterprises and CROs, and senior professionals in the domestic drugs, who are engaged in and have accumulated rich R&D and industrialization experience in multi-chiral-center drug synthesis, multi-step drug synthesis, slow and controlled release preparation technology, liposome technology, nano preparation technology, low limit substance detection, unknown substance detection, pharmacodynamics & pharmacokinetics, preclinical toxicological safety evaluation, etc. The research fields involve drugs on tumor, cardiovascular, cerebrovascular, hypertension, infection, digestive system, mental and nervous system, etc."
PolyAnalytik Inc.,https://polyanalytik.com/home/,"PolyAnalytik Inc. (PAI) was founded in 2007 and incorporated in May 2008 with our headquarters located at Western University Research Park in London, Ontario, Canada.  Our multidisciplinary team of experts in material science & engineering, polymer chemistry, biomedical engineering, and biotechnology have a combined 40 years of experience in providing accurate, reproducible, and validated analytical services to a variety of sectors.  We provide expert analytical and regulatory approval support through contract analysis, method development, and validation services to petrochemicals, polymer/plastics, pharmaceutical companies, and research institutions.

Our passion for technology development and commercialization fosters a positive spirit of collaboration with our clients and partners to help bring high-quality and safe products to people worldwide. It is our wish to honour the same collaboration with our clients and partners.

As a pre-clinical contract research organization, we offers premium solutions in the comprehensive characterization of combination devices, defining their safety and efficacy. This includes analytical/bioanalytical, drug and impurity characterization with GLP support. With a multidisciplinary team of scientists, patented extraction methods and leading-edge instrumentation, we support our sponsors advance combinations of devices and improve patient lives."
ProJect Pharmaceutics,http://www.project-pharmaceutics.com/,"ProJect Pharmaceutics, based in Martinsried/Munich, Germany, transforms proteins, peptides and delicate small molecules into pioneering drugs. ProJect Pharmaceutics adds value to client´s bio-pharmaceutical products by applying an innovative concept of development called Advaceutics. Based on the Advaceutics concept, ProJect Pharmaceutics designs optimized formulations and delivery systems for biologics that are stable, convenient and safe. Tailored to these optimized systems the company develops cost-effective manufacturing processes and transfers those from its own pilot labs to large-scale manufacturing. ProJect Pharmaceutics makes sure that investigational products, biosimilars as well as “bio-betters” are developed effectively and will run smoothly in clinical and commercial scale GMP manufacturing. "
UGenome LLC,https://ugenome.io/,"UGenome is a cutting-edge biotech company at the forefront of genomic innovation. We specialize in the development of advanced software tools designed to harness the power of genomics for both research and clinical applications. Our mission is to accelerate the benefits of genomic medicine for patients and healthcare professionals through clinically actionable insights.

Our services include:
Bioinformatic Services: Providing expert data analysis and interpretation across the multi-omics spectrum, facilitating deeper insights into complex biological datasets.
Personalized Medication Services (Pharmacogenetic Consultation): Offering tailored pharmacogenetic insights to optimize medication therapy based on an individual’s genetic makeup, ensuring safer and more effective treatments.

At UGenome AI, we are committed to leveraging the latest advancements in genomics and bioinformatics to make genomic medicine personal and accessible for everyone."
Novoprotein Scientific,https://www.novoprotein.com/,"At Novoprotein, our mission is to drive breakthroughs in medicine by innovating protein, antibody, and enzyme technologies. We offer a comprehensive suite of custom services tailored to support cutting-edge research and development:

1) Protein Expression and Purification: Expertise in E. coli, mammalian, insect, and yeast expression systems.
2) Cosmetic-Grade Recombinant Collagen Production: High-quality solutions for cosmetic applications including injectables and lotions. 
3) Monoclonal Antibody Development: Proprietary technology to tackle challenging targets.
4) Bulk Recombinant Antibody Production: Scalable production to meet your research and manufacturing needs.
5) Antibody Engineering Services: Specializing in affinity maturation, stability optimization, and humanization.
6) Enzyme Design and Modification: Custom solutions for novel enzymatic functions.
7) Strain Engineering and Process Development: Tailored approaches to optimize production systems.
8) Stable Cell Line Construction: Robust and reliable cell lines 
9) mRNA Synthesis and mRNA-LNP Production: End-to-end solutions for mRNA-based vaccines and therapies.
10) Vaccine Process Development: Expertise to streamline vaccine production pipelines.

Our custom services support a wide range of applications, including antibody drug discovery, CAR-T therapy, cell and gene therapy (CGT), mRNA vaccines and therapeutics, and organoid research, among others.

We operate two state-of-the-art GMP facilities with a production capacity of up to 2,000 liters per batch.

In addition to custom services, Novoprotein offers a comprehensive catalog of recombinant proteins and molecular enzymes, providing reliable tools for your research and development needs."
WuXi Biologics,https://www.wuxibiologics.com/,"WuXi Biologics (stock code: 2269.HK), a Hong Kong-listed company, is a leading global open-access biologics technology platform offering end-to-end solutions to empower organizations to discover, develop, and manufacture biologics from concept to commercial manufacturing. The company’s history and achievements demonstrate its commitment to providing a truly ONE-stop service offering and strong value proposition to its global clients. With total estimated capacity for biopharmaceutical production planned in the U.S., China, Ireland, Germany, and Singapore exceeding 430,000 liters after 2024, WuXi Biologics will provide its biomanufacturing partners with a robust and premier-quality global supply chain network."
GenScript,http://www.genscript.com,"Founded in 2002 and listed on the Hong Kong Stock Exchange in 2015, GenScript has an established global presence across Greater China, North America, the EU, and Asia Pacific. Today, over 300,000 customers from over 160 countries and regions worldwide have used GenScript’s premier, convenient, and reliable products and services. GenScript currently has over 5,000 employees globally, 33% holding master’s and/or Ph.D. degrees. In addition, GenScript has a number of leading commercial technologies developed in the fields of synthetic biology, immunotherapy, antibody design, chemical synthesis, and bioinformatics, including more than 100 patents and over 270 patent applications. As of June 2022, GenScript's products and services have been cited by 74,700 scientific papers worldwide. GenScript is committed to striving toward its vision of being the most reliable biotech company in the world to make humans and nature healthier through biotechnology."
Alcamena,http://www.alcamenabio.com,"Alcamena sets out to develop the most advanced protein optimization and development platform available. We consulted with field leaders in directed evolution and conducted a world-wide search to find the best talent. The result of this effort, is a proprietary, highly refined directed evolution platform which we believe is the best on the market today. Our approach is versatile and fast, allowing us to optimize binding of peptides and proteins in a few weeks. Our strengths are directed evolution, construct design, library construction, and custom screens, including a variety of display techniques. We have the capability to develop proteins with binding affinities exceeding that of most antibodies (low pM) and/or have tissue permeability approaching that of small molecules. Our results have been independently validated in academic laboratories through jointly funded NIH projects (R43 NS105289; R43 NS110112)."
RegeneMed,http://www.regenemed.com/,"RegeneMed accelerates the development of safer, more effective drugs by providing integrated high throughput platforms incorporating engineered human tissue-based assays. "
Teklab,http://www.teklabinc.com,Teklab's environmental laboratory can analyze a multitude of different methods and matrices.
Unidad de Desarrollo e Investigación en Bioprocesos (UDIBI),https://udibi.com.mx/en/,"UDIBI is located at the National School of Biological Sciences of the National Polytechnic Institute, in Mexico City. At UDIBI we have a multidisciplinary team of highly qualified professionals in the discovery, development, production and characterization of pharmaceutical products capable of providing solutions that satisfy our clients."
SV ChemBioTech,http://www.svchembiotech.com/,"Our company description
SV ChemBioTech Inc., was founded in 2009 in Edmonton, Alberta, Canada by two PhD scientists,  Dr. Sabitha Anchoori and Dr. Vidyasagar Anchoori, who are accomplished scientists with over 20 years of industry experience in pharmaceutical industry in medicinal chemistry, drug discovery, process R&D, technology commercialization, scale-up and manufacturing. SV Chem is an innovative company specialize in the novel designing and making organic molecules adapting novel, cost effective, 
eco-friendly, practically viable, scalable synthetic routes for accelerating early-stage drug discovery, pharmaceutical process R&D, manufacturing. Thus, SV Chem is an ideal partner for pharma and biotech companies for drug discovery, pharmaceutical R&D and manufacturing. Our expert team of scientists and engineers are constantly engaged in transforming research into an efficient, cost-effective manufacturing of pharmaceutical products.

Our business model, niche & Specialty Skills
1) Process research to commercialization for manufacturing of advanced intermediates in multiple kilos for Clinical and Generic APIs in collaboration with partnership GMP facilities from India.
2) Process research to commercialization for manufacturing of Semiochemicals in multiple kilo for crop protection applications in collaboration with partnership facility in India.
3)Accelerate early-stage drug discovery research by developing robust, cost-effective, ecofriendly syntheses of
preclinical drug candidates and their intermediates.
4) Novel design and cost-effective synthesis of stable deuterium labeled drug standards in grams quantities

Our Success Stories
Since the year of incorporating (2009) our company, we made several complex pharma products for various customers in US, Europe, and India in following categories.
1) Advanced Intermediates for clinical and generic APIs in multiple-kilos scale.
2)Medicinal chemistry compounds in milligrams to multi-grams scale for pre-clinical research.
3) Deuterated drug standards and metabolites in gram scale.

Our Team

Sabitha Anchoori, PhD (Organic Chemistry)
President
Dr. Sabitha Anchoori is Founder and President SV ChemBioTech, Inc., Edmonton, Alberta, Canada. Prior to starting the company. Sabitha worked for a reputed Edmonton drug discovery company, NAEJA Pharmaceuticals as Lead Scientist in medicinal chemistry projects. Her work was in therapeutics related to CNS disorders and diabetes, contributed to drug discovery programs of the multinational pharmaceutical companies Pfizer and AstraZeneca. Prior to that, she worked in Indian pharmaceutical industry for over 15 years and held the position of Sr. Manager R&D, QA in the Alembic Group of Companies, India. Sabitha is an accomplished scientist with over 20 years of industry experience in pharmaceutical R&D, technology commercialisation, medicinal chemistry. Also, she is experienced in managerial work, business development and possesses an appreciation certificate from Pfizer. Before landing in Canada with her family in 2004, Sabitha having several years past and rich experience from Indian pharmaceutical industry, she had a vision to set up own pharmaceutical company in Canada.
Having set up SV Chem in Edmonton, which is now a growing company, Dr. Sabitha is amazed that her “Canadian dream” turned into reality. In 1996, Dr. Sabitha received the prestigious “Dr. Vikram Sarabhai Young Scientist” award for “Best Research in Industry” from the Department of Science & Technology (Government of India) in recognition of her commendable contributions to industrial research, transforming phosgene chemistry into key pharma intermediates used for life saving drugs, antidiabetics, antibiotics etc. Sabitha obtained her Ph.D in Organic Chemistry (Synthesis of Prostaglandins) from M.S. University of Baroda, India under the guidance of Dr. Sukh Dev, a world-renowned organic chemist and former director of National Chemical Laboratories, India.

Our Team
Vidyasagar Anchoori, PhD (Organic Chemistry)
Chief Executive Officer
Dr. Vidyasagar Anchoori is co-founder & CEO of SV ChemBioTech Inc. He has 20 years of industrial experience in custom synthesis, process R&D, kilo Lab, scale-up and cGMP manufacturing of pharmaceutical intermediates and API’s. He worked from 2004-2010 as Lead Scientist, kilo Lab at NAEJA Pharmaceuticals Inc., where he was directly involved in process R&D and scale-up projects for customers such as Pfizer, Anacor and AstraZeneca. Prior to joining NAEJA, Dr. Vidyasagar worked as General Manager (R&D) for Vinati Organics Ltd., Mumbai, India, where he was the overall in-charge for process R&D, Quality Control and Scale-up operations. Before this assignment, he worked at Gujarat State Fertilizers & Chemicals as R&D Manager. Later, he worked as Lead Scientist at SABIC Research Center, Riyadh Saudi Arabia, a multi-national company, where he developed novel technologies for value added specialty chemicals based on homogeneous and heterogeneous catalysis. Dr. Vidyasagar received his PhD in Organic Chemistry from MS University of Baroda, India. He did post-doctoral work at the Catholic University of America, Washington, DC, in bio-organic chemistry. He has several patents and publications to his credit.

Awards, Honors
2015: SV Chem received NSERC Engage Award from govt. of Canada for a research project “Cu-mediated C-C bond forming reactions with heterocyclic compounds” conducted in collaboration with University of Alberta, Canada.

2016: We received NSERC Engage Plus Award from govt. of Canada for a research project ""Efficient chemical synthesis of deuterated pharmaceutical standards and metabolites” conducted in collaboration with University of Alberta, Canada.

2019: We received NSERC Engage-CASBE/Alberta Innovates Grant for a research project “High-throughput microfluidic technology for developing small 3D tissues” for identifying new therapeutic pathways for cancer in collaboration with University of Calgary, Canada.

2020: We received Industry r&D Associates Program grant, Alberta Innovates, Alberta govt., Canada for developing advanced chlorination technology for optimizing existing manufacturing process for one of our products, CRS pheromone.

2021: SV Chem received MITACS Accelerate Industrial Award grant in support of research and technology commercialization of Semiochemicals, currently, we are conducting in collaboration with University of Alberta, Canada."
Material Interface Inc.,http://www.materialinterface.com/,"Material Interface, Inc. is dedicated to the development of superior products through improved surfaces, interfaces, and coatings. Services centered around surface analysis techniques and coating selection and design. The optimum course of action chosen after discussions regarding engineering and economic requirements."
"MiLaboratories, LLC",https://milaboratories.com/,"MiXCR is an ultimate software platform for analysis of Next-Generation Sequencing (NGS) data for immune profiling. It’s widely used to empower R&D in vaccine development, CAR-T therapies, antibody discovery and other areas. 8 out of 10 Big Pharma companies choose MiXCR for studying immune system. Aiming to support non-profit research, we provide MiXCR for free for academic and non-commercial use. For years, MiXCR is being the number one solution for immune system studies in academia and industry."
Versuchswesen Pflanzenschutz,https://en.croptrials.com/,"CropTrials GmbH is an independent private company for agricultural field research and development of agrochemical products. CropTrials GmbH is the successor organisation of VERSUCHSWESEN PFLANZENSCHUTZ, which was founded in 1990. The company provides studies to evaluate the efficacy and the crop safety of pesticides. Furthermore CropTrials GmbH offers residue studies, soil dissipation and accumulation studies as well as rotational crop studies."
Micromeritics Instrument Corporation,https://www.micromeritics.com/,"Micromeritics Instrument Corporation is the world’s leading supplier of high-performance systems to characterize particles, powders, and porous materials with a focus on physical properties, chemical activity, and flow properties.  Our technology portfolio includes: pycnometry, adsorption, dynamic chemisorption, particle size and shape, intrusion porosimetry, powder rheology, and activity testing of catalysts.    The company has R&D and manufacturing sites in the USA, UK, and Spain, and direct sales and service operations throughout the Americas, Europe, and Asia.  Micromeritics systems are the instruments-of-choice in more than 10,000 laboratories of the world’s most innovative companies, prestigious government, and academic institutions.  Our world-class scientists and responsive support teams enable customer success by applying Micromeritics technology to the most demanding applications."
Antibody Studio,http://antibodystudio.com,AB Studio is an antibody technology platform for therapeutic antibody development.
Provepharm Life Solutions,https://www.provepharm.com/en/page-d-accueil,"An independent, international specialty pharmaceutical company, Provepharm leverages the potential of mature and well-known molecules to develop innovative solutions that improve patients' lives. Provepharm develops, manufactures, and markets a range of hospital products including antidotes and dyes. Notably, the company is recognized for its expertise in the endoscopic and surgical dye markets. Working closely with healthcare professionals, Provepharm is committed to developing specific services aimed at helping them enhance clinical practices. With a team of over 160 professionals and offices in France, the US and UK, the company markets its products in over 25 countries worldwide and devotes between 20% and 25% of its revenues to R&D."
Zambon,https://cmo.zambon.com/,"Zambon is a modern healthcare company founded on the history and values of an Italian family and committed to innovating cure & care to improve patients’ lives. Present in Europe, America and Asia with over 2,700 employees and manufacturing units in Italy, Switzerland, France, China and Brazil, in 2021 the Group revenues amounted to 696 million euros.   The Pharma company, with its 23 subsidiaries and products commercialized in 87 countries, has taken a new role in the industry. In addition to pain and diseases of the respiratory system and urological system, Zambon is establishing a global pipeline and introducing important treatments for serious diseases such as Parkinson’s Disease, Cystic Fibrosis, BOS and NCFB.  Zambon produces high quality products thanks to the management of the whole production chain which involves Zach (Zambon Chemicals), a privileged partner for API, custom synthesis and generic products.  Recognizing the ever-growing importance of innovative technologies and the digitalization of healthcare, Zambon complements the offering of medicines with modern health solutions: Zcube - Zambon Research Venture – actively scouts and supports the growth of innovative projects and startups. Among them, in 2018 Zcube founded Careapt, a new startup which develops integrated Hi-Tech/Hi-Touch solutions for chronic disease management.  Zambon was established in 1906 in Vicenza and is headquartered in Milan within OpenZone, the scientific campus where knowledge is shared between partners in the field of Healthcare, founded with the aim to transform research into enterprise."
Novotec,https://www.novotec-labs.com/,"Created in 1997 by researchers from the Pasteur Institute in Lyon, the company offers you 30 years of experience and expertise in histology, immunohistochemistry and microscopy.  Dynamic, responsive and professional, Novotec adapts to your needs. Because quality and customer satisfaction are at the heart of the laboratory's concerns, its quality management system is ISO 9001:2015 certified. Novotec has also been approved for the Research Tax Credit since 2002.  Novotec carries out your studies in histology, immunohistochemistry and immunofluorescence, in situ hybridization, microscopy, molecular biology, but also personalized studies carried out by our Research & Development department."
Complete Laboratory Solutions (CLS),http://cls.ie,Complete Laboratory Solutions is a contract laboratory that provides testing and fully trained analysts on contract to client sites.
Bionique Testing Laboratories,http://www.bionique.com,"For over three decades, Bionique Testing Laboratories has remained a cornerstone in the life science industry, serving as a trusted partner and global leader in Mycoplasma Testing Services. Our comprehensive range of GMP services encompasses everything from Lot & Final Drug Product Release Testing to Real-Time PCR assays, allowing us to meet our clients' diverse needs across all stages of product development, from conception through clinical trials to commercialization, particularly for biopharmaceutical and cell therapy products. With a wealth of expertise, we excel in method development and validation, leveraging rapid microbiological methods to deliver real-time results. At Bionique, we are dedicated to upholding the integrity and biosafety of therapeutic products, offering top-tier mycoplasma testing services tailored to the unique requirements of each client. Our solutions cover a broad spectrum, including Cell and Gene Therapy Products, Clinical Trial Materials, Biopharmaceuticals, Master and Working Cell Banks, Raw Materials, and Vaccines. As a cGMP compliant, FDA-registered facility, we are committed to delivering excellence and compliance in every aspect of our operations."
Genelife Clinical Research,http://genelifecr.com,"Genelife Clinical Research is a medical research center that offers clinical trials, project management, and regulatory affairs services."
Ruiyi Medical Tech,http://www.ruiyitech.com/,"Ruiyi Tech was founded in May, 2006 and composed of Shanghai Ruiyi Medical Tech Co., Ltd., Shanghai Ruiheda Pharmaceutical Technology Co., Ltd., Haimen Ruiyi Medical Tech Co., Ltd., Nantong Ruiheda Pharmaceutical Technology Co., Ltd., Hechi Ruiyi Pharmaceutical Co., Ltd. It is a high-tech company who focuses on R&D of medical organosilicon  intermediates, Reagents for Organic Synthesis and pharmaceutical intermediates. Ruiyi Tech is a leading company in R&D and manufacturing of medical organosilicon products in China, also producing fluoride series, organic alkyne series, Cyclic compound and other pharmaceutical intermediates. And Ruiyi Tech provides CDMO services in pharmaceutical industry.

Ruiyi Tech is developing in accordance with its business culture which is Innovation, Efficiency, Quality, Cooperation. Ruiyi’s products is in strict consistence with ISO 9001-2015 Quality Control Standard. With persistent innovation in R&D, effective and environmental friendly commercial production, international oriented marketing strategy and excellent management team serving as its core competence, Ruiyi Tech is supplying good products and services to global market."
PharmaBlock,http://www.pharmablock.com,"PharmaBlock Sciences (Nanjing), Inc. (SZSE:300725) is a leading provider of innovative chemistry products & services throughout the pharmaceutical R&D process and commercial production. Its core businesses include: a rationally designed building blocks (BBs) collection, supplying from discovery, to development & commercial; development & manufacturing of RSMs, intermediates & APIs for drug development & commercial.    Officially operated in 2008, PharmaBlock has rapidly gained recognition for its outstanding capabilities in the design, synthesis, & supply of novel BBs. It has generated a large and unique collection of high-quality and diverse BBs, which are increasingly adopted by drug hunters to enrich the structure options, improve compound quality, expand patent space and eventually accelerate drug discovery projects. Inspired by the BBs, it has established a powerful drug discovery platform for medicinal chemists to quickly identify hit/lead. The platform includes a set of efficient tools, including but not limited to FBDD, DELT, & Virtual Screening.  Following the new molecules advancing from discovery to development, and into the market, the company is committed to a more comprehensive & long-term service to valued customers. In addition to strengthening process R&D capabilities & mfg. capacity to secure the sustainable supply of BBs, the company is providing CDMO solutions of RSMs, key intermediates & APIs. To further realize safe, efficient and green process & mfg., it has developed an advanced chemistry & engineering technology platform, featuring flow chemistry, micropacked bed hydrogenation, catalysis, crystallization, solid state chemistry etc.     Over the past years, PharmaBlock has partnered with almost all the top pharmaceutical companies, and hundreds of small to medium-sized biotechs around the world. Our ever changing mission is to support clients to accelerate drug discovery & development, and move the new molecule to commercial in full speed."
Aurorae Biolabs,http://www.auroraebio.com,"Aurorae BIolabs Inc, founded and based in San Diego, CA. We offer iPSC related products, reagents and services. "
