name,definition,clinical_stage
Fluorine Chemistry,,PRECLINICAL
Chromatography,"Headspace GC-MS (HS-GC-MS), Purge & Trap GC-MS (PT-GC-MS), Pyrolysis GC-MS (Pyr–GC-MS), Gel Permeation Chromatography (GPC, SEC), Ion Chromatography (IC)",PRECLINICAL
Sequence Optimization,,PRECLINICAL
B-Cell Receptor Repertoire Sequencing,,PRECLINICAL
Antibody Humanization Service,,PRECLINICAL
Product Prototyping,,BOTH
Medical Device Manufacturing,,CLINICAL
Plastic and Polymer Analysis,,BOTH
Ophthalmology,,CLINICAL
Preventive Health and Wellness,,CLINICAL
Manufacturing of Cosmetics,,BOTH
"Fertilizers, Biocides, and Pesticides Manufacturing",,BOTH
Buffer Formulation and Manufacturing,,BOTH
Animal Pest Testing,,BOTH
Renal Urinary System,,PRECLINICAL
Osmotic Drug Delivery,,CLINICAL
Micronization and Nanoization,,BOTH
Amorphous Dispersions,,BOTH
Drug-Polymer Extrudation,,BOTH
Microspheres,,BOTH
Liposomes,,BOTH
Polymer Screenings,,BOTH
In-Silico Development,,BOTH
Respiratory,,CLINICAL
Vaccines,,CLINICAL
Solid-Form Screening,,BOTH
Salt Form Selection and Characterization,,BOTH
pKa and Partition Coefficient Determination,,BOTH
Particle Size and Morphology Assessment,,BOTH
Powder Flow Characterization,,BOTH
Surface Area Analysis,,BOTH
Electrical Conductivity,,BOTH
Cardiology,,BOTH
Organic and Polymer Testing,,BOTH
Immediate Release Oral Formulations,,CLINICAL
"Coal, Coke & Charcoal Analysis",,BOTH
Vitamin Testing,,CLINICAL
Gas Analysis,,BOTH
Hematologic Malignancy Clinical Testing,,CLINICAL
Regulatory Affairs and Compliance,"Ensuring that all testing and documentation comply with regulatory standards (e.g., FDA, EMA) and assisting in regulatory submissions.",CLINICAL
Antibody Conjugation and Labeling,"Conjugation of antibodies with fluorescent dyes, enzymes, or other molecules for various applications",PRECLINICAL
Electron Paramagnetic Resonance (EPR)/Electron Spin Resonance (ESR),,PRECLINICAL
Atomic Force Microscopy (AFM),"A high-resolution imaging technique that uses a mechanical probe to scan the surface of a sample at the nanoscale, providing detailed topographical maps and information about the physical properties of materials.",PRECLINICAL
Target Identification High-Throughput Screening (HTS),Screening large libraries of compounds or genetic elements to identify potential modulators of a biological target,PRECLINICAL
Antibody Affinity Maturation,,PRECLINICAL
Pesticide Residue Testing,"The analysis of food items for the presence of pesticide residues, ensuring that they are within permissible levels and compliant with safety regulations.",BOTH
Copy Number Analysis,"Measuring copies of specific DNA segments in a sample, revealing gains, losses, or normal levels compared to a reference",BOTH
Protein Biomarker Discovery,"Biomarker discovery for disease diagnosis, prognosis, and therapeutic response monitoring",BOTH
Endotoxin Removal Service,,BOTH
Waste Oil Analysis,,BOTH
Host Cell Protein (HCP) Analysis,,BOTH
Sperm Cryopreservation,"The process of freezing and storing sperm samples for future use, important for reproductive research, fertility treatments, and genetic studies.",BOTH
"Biospecimen (blood, stool, etc) Banking","The collection and storage of biological samples such as blood, stool, and other bodily fluids",BOTH
Vector Copy Number Determination,"Techniques used to quantify the number of viral vectors integrated into host cells, providing essential information on gene delivery efficiency and stability for gene therapy applications.",BOTH
Identity and Purity Assays for Vectors and Cells,"Tests to confirm the identity and ensure the purity of viral vectors and cell lines, verifying that they meet specifications and are free from contaminants.",BOTH
Transmission Electron Microscopy (TEM),Ultrastructural imaging of tissues at high magnification for detailed analysis of cellular and subcellular structures,PRECLINICAL
Guinea Pig Models,Used for specific types of research where rodents are not suitable.,PRECLINICAL
Orthopedic Disease Models,,PRECLINICAL
Plasmid Production,"Subcloning, plasmid construction, and vector design.",BOTH
Immune Cell Assays,"Immune cell assays are tests used to evaluate the function, response, or characteristics of different types of immune cells.",BOTH
"Multiplexed Isobaric Tagging (e.g., TMT, iTRAQ)",Simultaneous quantification of proteins from different samples,PRECLINICAL
mRNA and LNP Services,,BOTH
Extracellular Vesicles (EVs) Functionalization,,BOTH
Gene Therapy Bioanalytical Assays,"Development and validation of assays to measure gene expression, protein levels, and other critical parameters",BOTH
SNP Genotyping,"Analyzing DNA by sequencing, PCR, microarrays, and other methods to detect single-nucleotide polymorphisms",BOTH
Clinical Toxicology,"Assessment of adverse effects in humans, including overdose and exposure to toxins",CLINICAL
Respiratory Disease Models,"Research on pharmacological treatments and mechanisms for diseases of the respiratory system, such as asthma, COPD, and pneumonia.",PRECLINICAL
Protein Microarray,,PRECLINICAL
Toxicology and Safety Pharmacology,Early safety assessments including in vitro genotoxicity and cardiotoxicity screens,PRECLINICAL
In Silico ADME Prediction,Utilizing computational tools and databases to predict ADME properties based on molecular structure,PRECLINICAL
Bispecific and Multispecific Antibody Development,Creating antibodies targeting multiple antigens or with additional functionalities,PRECLINICAL
Small Molecule Chemical Synthesis,"The process of designing and producing small molecule compounds through chemical reactions, aiming to create APIs with desired properties for pharmaceutical applications.",BOTH
Environmental Impact Mitigation,Developing mitigation strategies to reduce negative impacts of projects,BOTH
VLP Vector Production and Packaging,Development and purification of VLP (virus-like particles) vectors and packaging of cargo into VLPs,BOTH
CAR-T cell therapy development,"Development services encompassing vector design, T cell modification, expansion, and quality control, to create effective and safe personalized treatments for cancer and other diseases.",BOTH
Metabolic Flux Analysis,Study of the rates of metabolic reactions within a cell.,PRECLINICAL
Interface Product Design,,BOTH
In Vitro Diagnostic (IVD) Kits and Device Manufacturing,,CLINICAL
Protein Extraction,"Isolating proteins from cells or tissues, enabling their study and analysis for various applications including structural biology, functional assays, and proteomics.",BOTH
mRNA Synthesis by in vitro transcription (IVT),A cell-free process to produce RNA by enzymatic reactions,BOTH
"Plate Treatments, Coatings and Applications",,BOTH
Exome Sequencing,"Targeted sequencing of the exome, ",BOTH
Particle Engineering,"Spray Drying, Crystallization, Micronization, Jet Milling",BOTH
Cytology,Examination of cells from bodily fluids or fine needle aspirates,BOTH
Animal Origin Product Manufacturing,,BOTH
Metagenomics Sequencing Analysis,,PRECLINICAL
Modeling of Biological Processes,This involves using mathematical and computational techniques to simulate and understand complex biological systems and their interactions.,PRECLINICAL
Biomarker Discovery,Identifying biological molecules that serve as indicators of a particular disease state or physiological condition.,BOTH
Target Knockdown/Knockout Studies,"Application of CRISPR-Cas9, RNAi, and other gene editing technologies to validate target genes",PRECLINICAL
Imaging Biomarkers,"Development of biomarkers based on imaging techniques such as MRI, PET, and CT scans",CLINICAL
Antibody Chimerization,,PRECLINICAL
Antigen Conjugation,,PRECLINICAL
Microarray Products Manufacturing,,BOTH
Wax Product Manufacturing,,BOTH
"Proteolysis Targeting Chimeras (PROTAC) Service, Synthesis and Screening",,PRECLINICAL
Custom Software Development,,BOTH
Cell-Based Advanced Therapy Medicinal Products Manufacturing,,BOTH
"Glass, Ceramics and Concrete Manufacturing",,BOTH
Nutraceutical Bioavailability Studies,"Studies on how formulation, dosage form, and other factors affect absorption of ingredients",BOTH
T Cell Activation & Proliferation Assay,,BOTH
Nitrosamines Testing,,CLINICAL
"Chemistry, Manufacturing and Controls (CMC) Service",,BOTH
Powder Products,,BOTH
Trace Metals Analysis,,BOTH
Carbohydrate Chemistry,,PRECLINICAL
Oral Thin Films Products,,BOTH
Acetylation,,PRECLINICAL
Medical Devices,,BOTH
Solution-Phase Peptide Synthesis,"A traditional method where peptides are synthesized in a solution, requiring complex purification processes.",PRECLINICAL
Iodonation,,PRECLINICAL
Hybrid Capture Sequencing,A targeted sequencing technique that uses hybridization probes to capture specific DNA or RNA sequences from a sample,BOTH
Biospecimen Sourcing,"The process of obtaining biological samples from various sources, including donors and clinical settings, to support research and development activities.",BOTH
Antibody-Drug Conjugate (ADC) Technology,,BOTH
SAR (Structure-Activity Relationship),For optimizing biological activity and pharmacokinetic properties,PRECLINICAL
Electronic Chemicals Synthesis,,BOTH
Antibody Licensing,,PRECLINICAL
Bacterial Identification,"Identification and characterization of bacteria using traditional culture techniques and modern molecular methods, including 16S rRNA sequencing",PRECLINICAL
Antibody Development,"Design and engineering monoclonal, polyclonal, and multispecific antibodies with desired antigen specificity and functional properties; establishing stable and high-yielding cell lines for efficient Ab production, and designing purification processes",BOTH
Custom Adsorbents Manufacturing,,BOTH
Excipient Screening,"The evaluation of excipients, which are inactive ingredients in pharmaceuticals and other products, to ensure they are suitable for formulation purposes, focusing on their compatibility, stability, and impact on the efficacy of the final product.",BOTH
Immunoassay Development and Manufacturing,,BOTH
Animal Culture Media and Reagents,,BOTH
Chromosome Immunoprecipitation Sequencing (ChIP-Seq),A method that combines chromatin immunoprecipitation with DNA sequencing to identify the binding sites of DNA-associated proteins,PRECLINICAL
Post-Translational Modification Analysis,"Identification and quantification of PTMs like phosphorylation, glycosylation, and ubiquitination; studies on how PTMs affect protein function and interactions",PRECLINICAL
Neurovascular Research,Studies on blood-brain barrier integrity and neurovascular interactions,PRECLINICAL
Cardiotoxicity,,PRECLINICAL
Protein Purification,"Chromatographic techniques (affinity, ion exchange, size exclusion) for protein purification; tag removal and protein refolding services",BOTH
Neutralizing Antibody Testing,"Assays to measure the presence and concentration of antibodies that can neutralize pathogens, used to assess immune response following vaccination or infection.",BOTH
Withdrawal Symptom Models,Inducing withdrawal in animals to study symptoms and potential treatments.,PRECLINICAL
Circular Dichroism (CD) Spectroscopy,Analysis of secondary and tertiary protein structures,PRECLINICAL
Antibiotic Discovery,Screening for novel antibiotics,PRECLINICAL
Protein Design,Custom design and synthesis of novel proteins with specific functions,PRECLINICAL
Antigen Design and Selection,Identifying and characterizing target antigens for antibody development,PRECLINICAL
Mammalian and Microbial Cell Manufacturing,,BOTH
Purity and Impurity Profiling,Identifying and quantifying potential impurities in drug substances and products to meet regulatory requirements,BOTH
Metabolomic Biomarker Discovery,Identification of small molecule metabolite profiles that change in response to disease or treatment,BOTH
Quantitative Real-Time PCR (qRT-PCR),Targeted quantification of specific RNA molecules to validate RNA-Seq results; absolute and relative quantification of gene expression,BOTH
Fermentation Technology,"For microbial systems, optimizing fermentation conditions to maximize product yield.",BOTH
In Vivo Efficacy and Pharmacokinetic/Pharmacodynamic (PK/PD) Studies,Animal studies to evaluate the in vivo efficacy and pharmacokinetics/pharmacodynamics (PK/PD) relationships of lead therapeutics,PRECLINICAL
Blending,,CLINICAL
Coating,,CLINICAL
Drug Product Contract Manufacturing,"Commercial-volume manufacturing of final drug product, packaging and labeling",BOTH
Formulation Development,"Investigating different formulations of the drug formulation - solids, semi-solids, liquids, transdermal",PRECLINICAL
Transcriptome Sequencing,"Identification, profiling, and quantification of mRNA transcripts",BOTH
Biologics Cell Line Development,Developing and optimizing cell lines for biologic production.,PRECLINICAL
Nuclear Magnetic Resonance (NMR) Spectroscopy,Structure determination of small to medium-sized proteins and nucleic acids,PRECLINICAL
Screening for Immune Modulators,High-throughput screening for discovering new immune modulators,PRECLINICAL
Mass Spectrometry,"Analysis of molecular masses and characterization of complex mixtures for protein identification, post-translational modification analysis, and interaction studies",PRECLINICAL
Atomic Absorption Spectrophotometry (AAS),"An analytical technique used to measure the concentration of specific metal ions in a sample by detecting the amount of light absorbed by the atoms in their ground state, providing precise and accurate quantification of trace elements.",PRECLINICAL
Formulation Characterization,"The analysis of drug formulations to determine their composition, stability, and performance, ensuring that the product maintains its intended efficacy and safety throughout its shelf life.",BOTH
Stem Cell Quality Control,"Including Morphological Analysis, Pluripotency Marker Analysis, Differentiation Potential Evaluation, Genomic stability, Gene Expression Profiling, Mycoplasma Testing",BOTH
Isothermal Chemical Denaturation (ICD),,PRECLINICAL
Proteomics Data Analysis,Mass spectrometry data processing and protein identification,PRECLINICAL
Differential Scanning Fluorimetry (DSF),,PRECLINICAL
Clinical Pathology,Analyses of blood and other bodily fluids for biomarker identification and validation,CLINICAL
Lyophilization,"The process of freeze-drying drug products to remove moisture, thereby stabilizing them for long-term storage and ensuring their efficacy and shelf life.",BOTH
Dried and Frozen Food Manufacturing,,BOTH
Responsive T Cell Trafficking Assay,,BOTH
Arthritis Models,,PRECLINICAL
Vaccine Development,"Research, formulation, testing, and regulatory approval processes to create safe and effective vaccines for preventing infectious diseases, ensuring comprehensive immunological protection.",BOTH
Cryo-Electron Microscopy (Cryo-EM),For high-resolution structural insights into proteins and complexes,PRECLINICAL
Hamster Models,,PRECLINICAL
Personal Care Products Manufacturing,,BOTH
Protein NMR Spectroscopy,Determining 3D structures of proteins,PRECLINICAL
Microbial Strain Development,,PRECLINICAL
3D Bioprinted Tissues,Creating three-dimensional cell-laden structures that mimic real tissues.,PRECLINICAL
Preformulation Studies,"Solutiion stability, excipient-drug compatibility, solubility curve (pKa) studies",PRECLINICAL
Bioconjugation,"Linking biologically active molecules to other compounds, often for drug delivery or diagnostics.",PRECLINICAL
Neuroimaging,"Imaging studies using MRI, PET, and other modalities for brain structure and function analysis",PRECLINICAL
Sterile Fill-Finish,The process of filling sterile drug products into containers (such as vials or syringes) and sealing them under sterile conditions to ensure the product remains uncontaminated.,CLINICAL
Aerospace and Defence Components Manufacturing,,BOTH
Immune Profiling of Multiplex Cytokines,Measurement and analysis of multiple cytokines in a single sample,BOTH
Toll-Like Receptor Analysis,This involves studying specific proteins (TLRs) that play a key role in the immune system by recognizing pathogens and activating immune responses.,BOTH
Karyotyping,,BOTH
Adeno-Associated Virus (AAV) Vector Production and Packaging,Development and purification of AAV vectors and packaging of cargo into AAV,BOTH
Organoid Culture,"Cultivation of miniaturized and simplified versions of organs in vitro from stem cells, providing a powerful tool for studying organ development, disease modeling, and drug testing in a controlled environment.",PRECLINICAL
Ocular Toxicity,For detecting adverse reactions od drugs to the eye,BOTH
Histology,"The study of the microscopic structure of normal tissues, involving the preparation, staining, and examination of tissue sections to understand tissue architecture, identify pathological changes, and support research and diagnostic processes.",BOTH
Environmental Regulatory Compliance,Providing guidance and support for compliance with environmental regulations,BOTH
Rare Disease Models,,PRECLINICAL
Material Durability and Lifetime Analysis,"Evaluation of material degradation, corrosion, and aging; assessment of material lifespan under various environmental conditions",PRECLINICAL
Stability Testing of Nutraceuticals,"Testing to determine the shelf-life and stability of nutraceutical products under various storage conditions, such as light, temperature and humidity",CLINICAL
Quality Control Testing for Regulatory Submissions,"Comprehensive testing performed to verify the quality, safety, and efficacy of products before regulatory submission, ensuring they meet all necessary standards and specifications.",CLINICAL
Protein Quantification,"Measuring protein expression (ELISA), Western Blot",BOTH
Biomaterials Engineering,Development and testing of materials for medical applications like implants and prosthetics,BOTH
Nanoparticle Tracking Analysis (NTA),"High resolution sizing, counting, and visualization of nanoparticles",PRECLINICAL
Protein Post-Translational Modification Analysis,Analyzing the chemical modifications proteins undergo after their synthesis to understand their function and regulation.,PRECLINICAL
Tissue Regeneration Model,,PRECLINICAL
Immuno-inflammation Model,,PRECLINICAL
Skin Models for Permeation Studies,,PRECLINICAL
General Surgery Models,,PRECLINICAL
Ophthalmology,,BOTH
Neurology,,BOTH
ELISPOT Assays,"ELISPOT assays are used to detect and quantify individual cells secreting specific molecules, often used in immunology.",BOTH
Amino Acid Analysis,,BOTH
Preparation of Regulatory Submissions,"The compilation and organization of data and documentation required for regulatory approval submissions, including Investigational New Drug (IND) applications, New Drug Applications (NDA), Abbreviated New Drug Applications (ANDA), and Biologics License Applications (BLA), to ensure compliance with regulatory standards and facilitate the approval process.",CLINICAL
Environmental Policy Support,Development and implementation of environmental policies,BOTH
Sustainability Assessments,"Studies on resource use, energy efficiency, and sustainability practices",BOTH
AI-Driven Biomarker Discovery,The use of artificial intelligence and machine learning algorithms to identify novel biomarkers from complex biological data,BOTH
Pre-Market Medical Device Testing,For demonstrating device compliance with established safety and performance standards set by regulatory bodies,BOTH
Gut Microbiome Analysis,For impact on immune responses,BOTH
DNase-Seq Chromatin Accessibility Studies,Using DNase I sequencing to study chromatin accessibility and identify regulatory DNA elements.,PRECLINICAL
In Vitro Immune Tolerance,In vitro study of mechanisms immune tolerance,PRECLINICAL
In Vivo Toxicology,Use of animal models to evaluate toxicity,PRECLINICAL
Biolayer Interferometry (BLI),Real-time monitoring of biomolecular interactions for assessment of kinetics and affinity without requiring molecule immobilization,PRECLINICAL
In Vivo Imaging,"Preclinical MRI, PET, and CT scanners",PRECLINICAL
Veterinary Toxicology,"The study of the effects of chemicals, drugs, and other substances on animals, assessing their safety, identifying toxic exposures",BOTH
In Vivo Efficacy of Leads,Animal studies to assess in vivo efficacy and side effects.,PRECLINICAL
Metabolic Stability Assays,Evaluating the drug's susceptibility to metabolism by enzymes,PRECLINICAL
Clinical Pharmacodynamics,"Analysis of drug interactions, safety, and efficacy in human subjects",CLINICAL
Medical Device Design,"For conceptualizing, developing, and finalizing a medical device",PRECLINICAL
Antibody Purification,Purification of antibodies using various chromatography techniques and characterization of their properties,PRECLINICAL
Environmental Impact Assessments (EIAs),Conducting EIAs for proposed projects to predict environmental effects,BOTH
Carbon Footprint Analysis,Systematic assessment of the greenhouse gas (GHG) emissions associated with a specific activity/location,BOTH
Receptor Screening Assay,,BOTH
Environmental Monitoring and Assessment,"Monitoring air, water, soil, and biodiversity to assess environmental quality and pollution levels",BOTH
Cell Line Development,Engineering living cells to express a gene of interest or produce proteins of interest,BOTH
Fluorescence Spectroscopy,Analysis of protein stability and folding,PRECLINICAL
Large Scale Chemical Synthesis,Synthesizing chemicals and scaling up production for larger studies or preclinical testing.,PRECLINICAL
Stable Isotope Labeling,"Incorporation of stable isotopes for metabolic studies, NMR, and mass spectrometry",PRECLINICAL
Immune Cell Therapy Development,Development and evaluation of CAR-T cell therapies and other adoptive cell therapies,CLINICAL
Addiction Treatment Assessment,"Evaluation of the effectiveness and outcomes of addiction treatment programs, involving the assessment of patient progress, treatment adherence, and overall impact on addiction recovery and quality of life.",PRECLINICAL
Animal Models of Neurological Disease,Developing and using relevant animal models for disease study,PRECLINICAL
Neuropathology,"Specializing in diseases and abnormalities of the nervous system, including the brain, spinal cord, and peripheral nerves",CLINICAL
Oncologic Pathology,"Assessment of tumor tissues for diagnosis, staging, and grading",CLINICAL
Pharmacokinetic (PK) Modeling,"Mathematical modeling of ADME data to predict drug behavior under various scenarios, such as different dosages, routes of administration, and in specific populations",PRECLINICAL
Clinical Trial Site Management and Coordination,"Managing relationships with clinical trial sites and investigators, including training, site initiation, and ongoing support.",CLINICAL
Nutraceutical Product Labeling,"Accurate and compliant product labeling, including nutritional facts and health claims",CLINICAL
Synthetic Gene Circuits,Design and construction of synthetic gene networks to program cellular behavior,PRECLINICAL
Wastewater Testing,,BOTH
Toxicologic Pathology,For assessing drug or chemical toxicity or safety,BOTH
Small Molecule Biocatalysis,"The use of biological catalysts, such as enzymes or cells, to facilitate and optimize the synthesis of small molecule APIs, offering environmentally friendly and efficient manufacturing methods.",BOTH
Cell Signaling Pathway Reporter Screening,,PRECLINICAL
Large Molecule (Biologics) Production,"The manufacturing of biologic drugs, such as proteins, monoclonal antibodies, and vaccines, using biological systems like cell cultures or microorganisms to produce complex therapeutic molecules.",BOTH
Small Molecule Analysis,"Quantifying small-molecule drugs, metabolites, and biomarkers in biological matrices like blood, plasma, and tissues",BOTH
Gene Editing and CRISPR Services,"CRISPR-Cas9 gene editing for targeted gene knockouts, knock-ins, and genome modifications",BOTH
Nucleic Acid Biomarker Discovery,Identification of DNA or RNA markers that indicate a particular disease state or therapeutic response,BOTH
De Novo DNA Sequencing,"The process of sequencing a novel genome from scratch without a reference sequence, allowing for the assembly and analysis of previously uncharacterized genomes",PRECLINICAL
Environmental Metabolomics,Analysis of the metabolic responses of organisms to environmental stressors and pollutants,PRECLINICAL
Animal Models for Neuroinflammatory Conditions,For studying conditions like multiple sclerosis and Parkinson’s disease,PRECLINICAL
In Vitro Models of Neurodevelopment,Studies using iPSC-derived neurons and organoids,PRECLINICAL
Developmental and Reproductive Toxicology (DART),"Examining effects on pregnancy, fetal development, and fertility",PRECLINICAL
Analytical Ultracentrifugation (AUC),"Analysis of size, shape, and interactions of macromolecules in solution",PRECLINICAL
Fungal Fermentation and Bioprocessing,Development and validation of fungal fermentation processes for the production of bioproducts,PRECLINICAL
Bioburden and Sterility Testing,"Quality control testing assessing the microbial contamination of pharmaceutical products, medical devices, and other sterile environments",BOTH
Pharmacokinetics and Pharmacodynamics (PK/PD) Modeling,"Optimization of drug properties for better absorption, distribution, metabolism, and excretion (ADME)",BOTH
Pharmacodynamic Biomarkers,Identification of biomarkers that indicate a response to therapeutic intervention.,CLINICAL
Alzheimer's Disease Models,,PRECLINICAL
DC Migration Assay,,PRECLINICAL
Neuromuscular Models,,PRECLINICAL
Biopesticidal Testing,,PRECLINICAL
Adenovirus Production and Packaging,,BOTH
Cell Therapy Bioanalytical Services,,BOTH
Fertilizer Testing,,BOTH
Oral Solid Dosage Forms,"The formulation and manufacturing of solid dosage forms, including tablets and capsules, designed for oral administration and optimized for stability, release, and patient compliance.",BOTH
Aptamer Design and Production,,BOTH
Medical Equipment Manufacturing,,BOTH
Inorganic and Organometallic Compounds Synthesis,,PRECLINICAL
Molecular Surface Engineering,,PRECLINICAL
Impurities Synthesis,,PRECLINICAL
Spatial Phenotyping,,BOTH
Viral Safety,,PRECLINICAL
Focused Ion Beam (FIB),,PRECLINICAL
Animal Model Breeding,"The controlled reproduction of laboratory animals to produce offspring with specific genetic traits, supporting research by providing consistent and genetically defined animal populations for experimental studies.",PRECLINICAL
Clinical Investigations for Medical Devices and Diagnostics,,CLINICAL
Animal Surgical Suites,"Specialized facilities equipped for performing surgical procedures on laboratory animals, ensuring sterile conditions and providing advanced surgical tools and anesthesia for precise and humane operations.",PRECLINICAL
Rabbit Models,Used for specific types of research where rodents are not suitable.,PRECLINICAL
Canine and Feline Models,Sometimes used in veterinary medicine research or for diseases shared with humans.,PRECLINICAL
Cell Culture Model Development,Using human or animal cells grown in a lab to study cellular processes and drug interactions,PRECLINICAL
Thermal Analysis,,BOTH
Bioinformatics Consulting,,BOTH
Autoimmune,,CLINICAL
Hematology,,CLINICAL
Antibody Characterization,"Analysis of properties of antibodies such as binding affinity, specificity, stability, isotype, modifications, functionality",PRECLINICAL
Antibody sequencing,"The process of determining the amino acid sequence of antibody chains, including both heavy and light chains, to understand their specificity, develop new therapeutics, and study immune responses.",PRECLINICAL
Protein Glycosylation Service,,BOTH
Polymer Coating,,BOTH
Electrospun Biomaterials Design and Development,,PRECLINICAL
Autoimmunity Models,,PRECLINICAL
"Mechanical Components, Optical Elements, Fibers, Semiconductors Manufacturing",,BOTH
Optical Measurements,,BOTH
"Cardiovascular, Renal and Metabolic (CVRM)",,CLINICAL
Internal medicine,,CLINICAL
Infectious Disease,,CLINICAL
Tuberculosis,,CLINICAL
Respiratory System,,CLINICAL
Psychiatry,,CLINICAL
Surgery,,CLINICAL
Phase II-III,,CLINICAL
Large-Scale Antibody Production,Scalable production of antibodies for preclinical and clinical studies using bioreactors and optimized cell culture protocols,PRECLINICAL
Hardness Testing,,BOTH
Softgel Technologies,"The development and production of soft gelatin capsules that encapsulate liquid or semi-solid ingredients, providing an alternative to traditional solid dosage forms with enhanced bioavailability and ease of ingestion.",BOTH
Autologous and allogeneic cell therapy development,"Development services for both autologous and allogeneic cell therapies, including cell sourcing, processing, expansion, and characterization, meeting regulatory standards to ensure therapeutic efficacy and safety.",BOTH
Bioanalytical Services,Development and validation of bioanalytical methods for drug and  quantification in biological matrices,BOTH
Patient Recruitment and Retention,"Strategies and services to enhance patient enrollment and retention in clinical trials, including patient outreach and engagement.",CLINICAL
Allergy Models,Research on hypersensitivity and allergic reactions,PRECLINICAL
Custom Media Manufacturing,,BOTH
Biomaterial Manufacturing,,BOTH
Homecare Product Manufacturing,,BOTH
Epitope Design,,PRECLINICAL
Distillation Services,,BOTH
Extracellular Vesicle (EV) Proteomics,,PRECLINICAL
Weld Testing,,BOTH
Lentivirus Vector Production and Packaging,Development and purification of lentiviral vectors and packaging of cargo into lentivirus,BOTH
Suspensions and Emulsion,,BOTH
Cell Line Authentification (STR),"Verification of cell line identity using Short Tandem Repeat (STR) profiling, confirming the genetic fingerprint of the cell line",BOTH
Mycoplasma Testing,"Detection of mycoplasma contamination in cell cultures, ensuring the integrity and reliability of biological research and biomanufacturing processes by preventing false results and compromised data.",BOTH
Photobiological Assessments,,PRECLINICAL
Pharmaceutical Manufacturing,,BOTH
Chemical Manufacturing,,BOTH
Biologics Manufacturing,,BOTH
Cosmetic Formulation,,BOTH
Cosmetic Testing,,BOTH
Lasers Imaging,,BOTH
Renal Toxicity,,PRECLINICAL
Spectroscopic Testing,"Including, X-Ray Photoelectron Spectroscopy (XPS, ESCA), Auger Electron Spectroscopy (AES), Time-of-Flight Secondary Ion Mass Spectrometry (Static) (TOF-SIMS)",BOTH
Extracellular Vesicles (EVs) Isolation and Purification,,BOTH
Extracellular Vesicles (EVs) Characterization,,BOTH
T Cell Specificity Assay,,BOTH
Macrophage Polarization Assay,,PRECLINICAL
Comparative Genomics,Comparative genomics is the study of comparing the genetic material of different species to understand their evolutionary relationships and functional biology.,PRECLINICAL
Cell Viability Assay,,PRECLINICAL
Cell Cycle Assay,,PRECLINICAL
